LocalAuthorityCode,LocalAuthorityName,SiteCode,SiteName,SiteType,DateClosed,DateOpened,Latitude,Longitude,LatitudeWGS84,LongitudeWGS84,Northing,Easting
6,Camden,CD4,Camden - St Martins College (NOX 1),Urban Background,2010-07-13 00:00:00,2007-06-22 00:00:00,51.518846,-0.12034,6713589.86508,-13396.1875221,530400.7559341755,181719.94974848384
6,Camden,CD5,Camden - St Martins College (NOX 2),Urban Background,2011-01-15 00:00:00,2007-06-22 00:00:00,51.518846,-0.12034,6713589.86508,-13396.1875221,530400.7559341755,181719.94974848384
6,Camden,CD1,Camden - Swiss Cottage,Kerbside,,1996-04-16 13:30:00,51.544219,-0.175284,6718130.26521,-19512.5256242,526518.9576414606,184444.7289136872
7,City of London,CT4,City of London - Beech Street,Roadside,,2003-01-01 00:00:00,51.520225273171,-0.0961060474176381,6713836.61564,-10698.4762607,532077.8488273689,181916.77781339356
7,City of London,CT2,City of London - Farringdon Street,Kerbside,,2003-01-01 00:00:00,51.5145253362314,-0.104515626337876,6712816.9511,-11634.6263039,531510.9223074905,181267.85339790653
7,City of London,CT9,City of London - Guildhall,Urban Background,,2022-01-24 00:00:00,51.515907,-0.092023986,6713064.10589633,-10244.0632622873,532373.5290937718,181444.00465048317
7,City of London,CT1,City of London - Senator House,Urban Background,2013-01-16 00:00:00,2001-10-10 14:45:00,51.511491,-0.095807,6712274.18922,-10665.1864544,532123.8672346139,180946.15216455192
7,City of London,CT3,City of London - The Aldgate School,Urban Background,,2003-01-01 00:00:00,51.513847178423,-0.077765681752,6712695.6436,-8656.83609382,533368.6902470015,181240.86327756476
7,City of London,CTA,City of London - Upper Thames Street,Roadside,,2022-05-12 00:00:00,51.5105969158391,-0.0921029031922594,,,532383.4495423727,180853.43314075627
7,City of London,CT8,City of London - Upper Thames Street,Roadside,2021-09-13 00:00:00,2007-04-22 00:00:00,51.5095436853913,-0.0873571979556188,6711925.88558654,-9724.55879354668,532715.7738545188,180744.92025555822
7,City of London,CTA,City of London - Upper Thames Street,Roadside,,2022-05-12 00:00:00,51.5105969158391,-0.0921029031922594,,,532383.4495423727,180853.43314075627
7,City of London,CT6,City of London - Walbrook Wharf,Roadside,2023-01-09 00:00:00,2007-04-01 00:00:00,51.510499,-0.091634,6712096.7547,-10200.6502194,532416.2666132984,180843.39423602395
8,Croydon,CR6,Croydon - Euston Road,Suburban,2009-05-22 00:00:00,2001-01-26 08:00:00,51.3786978969719,-0.113796403332539,6688556.36343,-12667.7576731,531256.0154055126,166148.66015647288
8,Croydon,CR4,Croydon - George Street,Roadside,2015-04-02 00:00:00,1999-09-20 07:45:00,51.374312,-0.096503,6687774.18496,-10742.66482,532471.9834942318,165692.10446826258
8,Croydon,CR5,Croydon - Norbury,Kerbside,,2000-10-05 11:15:00,51.411349,-0.12311,6694381.70052,-13704.5425116,530514.9881125325,169762.45528243258
8,Croydon,CR8,Croydon - Norbury Manor,Urban Background,,2014-12-01 00:00:00,51.410039,-0.127523,6694147.90117935,-14195.7954244306,530211.8636520735,169608.94748649633
8,Croydon,CR9,Croydon - Park Lane,Roadside,,2015-11-02 00:00:00,51.3739530635378,-0.0967638468323854,6687714.0876655,-10771.7986892368,532454.8676564168,165651.72384283363
8,Croydon,CR2,Croydon - Purley Way,Roadside,2010-10-08 00:00:00,1994-08-08 13:00:00,51.362638,-0.117952,6685692.61527,-13130.356578,531012.6994272856,164355.55991280865
8,Croydon,CR7,Croydon - Purley Way A23,Roadside,,2012-01-19 00:00:00,51.3622305655403,-0.117604507351392,6685619.97595951,-13091.6738733508,531038.0500783543,164310.87901722328
8,Croydon,CR3,Croydon - Thornton Heath,Suburban,2013-02-08 00:00:00,1997-06-13 02:30:00,51.40401,-0.098814,6693071.97514,-10999.9241632,532225.5157721508,168989.9953993723
8,Croydon,CY1,Crystal Palace - Crystal Palace Parade,Roadside,2010-07-29 00:00:00,1999-09-29 23:00:00,51.424812,-0.075449,6696784.86785,-8398.94426086,533789.6408530837,171345.34600752432
9,Ealing,EA2,Ealing - Acton Town Hall,Roadside,2012-01-17 00:00:00,1996-09-09 15:00:00,51.506628,-0.267934,6711404.40353,-29826.2764462,520194.36184281495,180108.70077173033
9,Ealing,EG1,Ealing - Acton Town Hall (Partisol),Roadside,2006-10-04 00:00:00,2005-09-01 00:00:00,51.5065947337762,-0.267964378025953,,,520192.3414898931,180104.95193093928
9,Ealing,EA0,Ealing - Acton Town Hall FDMS,Roadside,2011-12-29 00:00:00,2005-04-29 09:00:00,51.506628,-0.267934,6711404.40353,-29826.2764462,520194.36184281495,180108.70077173033
9,Ealing,EI3,Ealing - Acton Vale ,Urban Background,,2017-11-23 00:00:00,51.5038527919816,-0.254668101620372,,,521122.2264195789,179821.98910496142
9,Ealing,EA9,Ealing - Court Way,Roadside,2006-06-01 00:00:00,2005-04-19 01:00:00,51.5225651213491,-0.264922414775277,6714255.22919,-29491.0283125,520361.31322449347,181885.73955230523
9,Ealing,EA1,Ealing - Ealing Town Hall,Urban Background,2012-01-10 00:00:00,1995-03-14 00:00:00,51.5133230466548,-0.307529015473585,6712606.88936,-34230.5207799,517429.6839982751,180788.86023310732
9,Ealing,EI0,Ealing - Greenford,Urban Background,2009-04-15 00:00:00,2008-03-25 00:00:00,51.5439296252862,-0.352801776049933,6718078.46846,-39273.7140608,514212.07280059665,184120.450206835
9,Ealing,EA6,Ealing - Hanger Lane Gyratory,Roadside,,2003-08-04 00:00:00,51.53085,-0.292488,6715737.619,-32559.6152231,518427.733124343,182761.9775936266
9,Ealing,EA8,Ealing - Horn Lane,Industrial,,2005-02-25 00:00:00,51.518948,-0.265617,6713608.11252,-29568.349186,520322.66732290096,181482.40000027517
9,Ealing,EI8,Ealing - Horn Lane TEOM,Industrial,,2005-02-25 00:00:00,51.5189160348806,-0.265652052386222,6713608.11252,-29568.349186,520320.31998130155,181478.78807877982
9,Ealing,EA7,Ealing - Southall,Urban Background,2016-01-26 00:00:00,2004-07-13 11:00:00,51.508549,-0.392179,6711747.97835,-43657.1665798,511568.384044258,180125.5797279305
9,Ealing,EI7,Ealing - Southall FDMS,Urban Background,2016-01-26 00:00:00,2011-12-28 11:00:00,51.5085164816243,-0.392208459173292,6711747.97835,-43657.1665798,511566.4193996752,180121.91897112897
9,Ealing,EI2,Ealing - Southall Railway,Roadside,2014-01-06 00:00:00,2011-04-08 00:00:00,51.5058699783726,-0.380241031512669,6711268.83378,-42328.2380067,512403.3159135886,179845.9549771715
9,Ealing,EI1,Ealing - Western Avenue,Roadside,,2010-03-19 00:00:00,51.5236078191481,-0.265502631799754,6714441.78131,-29555.6177762,520318.3181362057,182000.72564512613
10,Enfield,EN5,Enfield - Bowes Primary School,Roadside,,2004-07-01 00:00:00,51.613865,-0.125338,6730606.17452,-13952.562337,529783.1663393625,192276.35708033753
10,Enfield,EN1,Enfield - Bush Hill Park,Suburban,,1995-06-29 08:00:00,51.6450367266602,-0.0661800662229116,6736196.26651,-7367.1312726,533786.5787476341,195849.1170013997
